"description","value","TestID","R.Time","Matlab.Time"
"Position","L-iu-so","test25_ComaCourtney",NA,NA
"Flipper.Tag.2","WN160","test25_ComaCourtney",NA,NA
"Position.1","R-iu-so","test25_ComaCourtney",NA,NA
"Mark","WN160","test25_ComaCourtney",NA,NA
"Mark.Position","L","test25_ComaCourtney",NA,NA
"Birth.date","~Jan 2019","test25_ComaCourtney",NA,NA
"Wean.date","between 2/21/2019 and 2/23/2019","test25_ComaCourtney",NA,NA
"Tagged.date","2/23/2019 0:00","test25_ComaCourtney",NA,NA
"Wean.weight_kg","159.3 kg","test25_ComaCourtney",NA,NA
"Weaner.ID","not recorded","test25_ComaCourtney",NA,NA
"Wean.Standard.Length","unknown","test25_ComaCourtney",NA,NA
"Wean.Ax.Girth","unknown","test25_ComaCourtney",NA,NA
"Animal.ID","51173","test25_ComaCourtney",NA,NA
"Deployment.Resight.ID","353185","test25_ComaCourtney",NA,NA
"Recovery.Resight.ID","353232","test25_ComaCourtney",NA,NA
"Deploy.ID","NESE0007LOML","test25_ComaCourtney",NA,NA
"TOPP.ID","2020049","test25_ComaCourtney",NA,NA
"Deploy.Latitude","36.948644","test25_ComaCourtney",NA,NA
"Deploy.Longitude","-122.065416","test25_ComaCourtney",NA,NA
"Initial.sedation.location","BBN","test25_ComaCourtney",NA,NA
"Blood","Yes","test25_ComaCourtney",NA,NA
"Hematocrit","63 / 63 / 63 / 63","test25_ComaCourtney",NA,NA
"Whisker","N","test25_ComaCourtney",NA,NA
"Fur","N","test25_ComaCourtney",NA,NA
"Blubber","N","test25_ComaCourtney",NA,NA
"Ultrasound.skull.depth_cm","1.85","test25_ComaCourtney",NA,NA
"Recording.Duration_s","346393.656","test25_ComaCourtney",NA,NA
"Recording.Duration_days","4.009185833","test25_ComaCourtney",NA,NA
"Begin.Calm.in.Water.for.ICA","10/19/2020 22:46","test25_ComaCourtney",NA,NA
"End.Calm.in.Water.for.ICA","10/19/2020 22:56","test25_ComaCourtney",NA,NA
"Duration.for.ICA","0:09:45","test25_ComaCourtney",NA,NA
"Best.EOG.EMG.EEG","3,4,7,8","test25_ComaCourtney",NA,NA
"ICA.Decomposition.Quality","OK","test25_ComaCourtney",NA,NA
"ICA.Component.Maximal.Brain","8","test25_ComaCourtney",NA,NA
"ICA.Component.Maximal.Heart","3","test25_ComaCourtney",NA,NA
"Pruned.with.ICA.Components","1,3,4,7","test25_ComaCourtney",NA,NA
"Recording.ID","CAPTIVE_1yr-juvenile","test26_DreamyDenise",NA,NA
"Seal.Number","13","test26_DreamyDenise",NA,NA
"Sex","F","test26_DreamyDenise",NA,NA
"Age","(0,1]","test26_DreamyDenise",NA,NA
"Age.Estimate","~0.8 years old","test26_DreamyDenise",NA,NA
"Version","V2","test26_DreamyDenise",NA,NA
"Deployment","7","test26_DreamyDenise",NA,NA
"Seal.ID","H525","test26_DreamyDenise",NA,NA
"Pressed.Start.Logger","10/23/2020 15:59","test26_DreamyDenise",NA,NA
"Logger.Start","10/23/2020 16:00","test26_DreamyDenise",NA,NA
"Start.for.EDF.Files","59:58.4","test26_DreamyDenise",NA,NA
"ON.ANIMAL","10/24/2020 13:03","test26_DreamyDenise",NA,NA
"Logger.Stop","not recorded - off","test26_DreamyDenise",NA,NA
"Device.Failure","Yes","test26_DreamyDenise",NA,NA
"Standard.Length","165","test26_DreamyDenise",NA,NA
"Curved.Length","175","test26_DreamyDenise",NA,NA
"Ax.Girth","139","test26_DreamyDenise",NA,NA
"Mass.with.cage_kg","229","test26_DreamyDenise",NA,NA
"Mass.cage_kg","81","test26_DreamyDenise",NA,NA
"Mass.animal._kg","148","test26_DreamyDenise",NA,NA
"Mass.animal.post.study_kg","137","test26_DreamyDenise",NA,NA
"Flipper.Tag.1","GH525 - ADDED","test26_DreamyDenise",NA,NA
"Position","L-iu-So","test26_DreamyDenise",NA,NA
"Flipper.Tag.2","GH527 - ADDED","test26_DreamyDenise",NA,NA
"Position.1","R-il-So","test26_DreamyDenise",NA,NA
"Mark","No Mark","test26_DreamyDenise",NA,NA
"Mark.Position","No Mark","test26_DreamyDenise",NA,NA
"Birth.date","probably in 2020","test26_DreamyDenise",NA,NA
"Wean.date","unknown","test26_DreamyDenise",NA,NA
"Tagged.date","unknown","test26_DreamyDenise",NA,NA
"Wean.weight_kg","unknown","test26_DreamyDenise",NA,NA
"Weaner.ID","not recorded","test26_DreamyDenise",NA,NA
"Wean.Standard.Length","unknown","test26_DreamyDenise",NA,NA
"Wean.Ax.Girth","unknown","test26_DreamyDenise",NA,NA
"Animal.ID","52333","test26_DreamyDenise",NA,NA
"Deployment.Resight.ID","353421","test26_DreamyDenise",NA,NA
"Recovery.Resight.ID","353422","test26_DreamyDenise",NA,NA
"Deploy.ID","NESE0008LOML","test26_DreamyDenise",NA,NA
"TOPP.ID","2020050","test26_DreamyDenise",NA,NA
"Deploy.Latitude","36.948644","test26_DreamyDenise",NA,NA
"Deploy.Longitude","-122.065416","test26_DreamyDenise",NA,NA
"Initial.sedation.location","BBN","test26_DreamyDenise",NA,NA
"Blood","Yes","test26_DreamyDenise",NA,NA
"Hematocrit","50 / 51 / 52 / 53","test26_DreamyDenise",NA,NA
"Whisker","N","test26_DreamyDenise",NA,NA
"Fur","N","test26_DreamyDenise",NA,NA
"Blubber","N","test26_DreamyDenise",NA,NA
"Ultrasound.skull.depth_cm","1.9","test26_DreamyDenise",NA,NA
"Recording.Duration_s","362771.948","test26_DreamyDenise",NA,NA
"Recording.Duration_days","4.198749398","test26_DreamyDenise",NA,NA
"Begin.Calm.in.Water.for.ICA","10/26/2020 18:10","test26_DreamyDenise",NA,NA
"End.Calm.in.Water.for.ICA","10/26/2020 18:23","test26_DreamyDenise",NA,NA
"Duration.for.ICA","0:13:43","test26_DreamyDenise",NA,NA
"Best.EOG.EMG.EEG","2,5,7,8","test26_DreamyDenise",NA,NA
"ICA.Decomposition.Quality","Excellent","test26_DreamyDenise",NA,NA
"ICA.Component.Maximal.Brain","7","test26_DreamyDenise",NA,NA
"ICA.Component.Maximal.Heart","2","test26_DreamyDenise",NA,NA
"Pruned.with.ICA.Components","1,2,3,4","test26_DreamyDenise",NA,NA
"Recording.ID","WILD_2mo-weanling","test30_ExhaustedEllie",NA,NA
"Seal.Number","18","test30_ExhaustedEllie",NA,NA
"Sex","F","test30_ExhaustedEllie",NA,NA
"Age","(0,1]","test30_ExhaustedEllie",NA,NA
"Age.Estimate","~2 months old","test30_ExhaustedEllie",NA,NA
"Version","V3","test30_ExhaustedEllie",NA,NA
"Deployment","8","test30_ExhaustedEllie",NA,NA
"Seal.ID","H870","test30_ExhaustedEllie",NA,NA
"Pressed.Start.Logger","3/26/2021 15:50","test30_ExhaustedEllie",NA,NA
"Logger.Start","3/26/2021 15:51","test30_ExhaustedEllie",NA,NA
"Start.from.Real.Time.Clock","3/25/2021 15:51","test30_ExhaustedEllie",NA,NA
"Start.for.EDF.Files","3/26/2021 15:51","test30_ExhaustedEllie",NA,NA
"ON.ANIMAL","3/27/2021 11:47","test30_ExhaustedEllie",NA,NA
"OFF.ANIMAL","4/1/2021 12:41","test30_ExhaustedEllie",NA,NA
"Logger.Stop","4/1/2021 15:44","test30_ExhaustedEllie",NA,NA
"Device.Failure","No","test30_ExhaustedEllie",NA,NA
"Standard.Length","157","test30_ExhaustedEllie",NA,NA
"Curved.Length","170","test30_ExhaustedEllie",NA,NA
"Ax.Girth","130","test30_ExhaustedEllie",NA,NA
"Mass.with.cage_kg","133","test30_ExhaustedEllie",NA,NA
"Mass.cage_kg","17","test30_ExhaustedEllie",NA,NA
"Mass.animal._kg","116","test30_ExhaustedEllie",NA,NA
"Flipper.Tag.1","GH870","test30_ExhaustedEllie",NA,NA
"Position","L-ou-Si","test30_ExhaustedEllie",NA,NA
"Flipper.Tag.2","GK102","test30_ExhaustedEllie",NA,NA
"Position.1","R-il-Si","test30_ExhaustedEllie",NA,NA
"Mark","210X","test30_ExhaustedEllie",NA,NA
"Mark.Position","R","test30_ExhaustedEllie",NA,NA
"Birth.date","~1/15/2021","test30_ExhaustedEllie",NA,NA
"Wean.date","2/15/2021 0:00","test30_ExhaustedEllie",NA,NA
"Tagged.date","2/20/2021 0:00","test30_ExhaustedEllie",NA,NA
"Wean.weight_kg","141.2","test30_ExhaustedEllie",NA,NA
"Weaner.ID","367998","test30_ExhaustedEllie",NA,NA
"Wean.Standard.Length","149","test30_ExhaustedEllie",NA,NA
"Wean.Ax.Girth","135","test30_ExhaustedEllie",NA,NA
